Назва фіду,Ідентифікатор фіду,Ідентифікатор клієнта,Час завантаження
"PRODUCTS SOURCE 2","407310700","5747965785","23 бер. 2026 р., 13:19 EET"

Ідентифікатор товару,Номер рядка,Повідомлення,Тип,Значення,Назва позиції
"variant_01KKJ7XNG9N59Y1KPXGRX7XVY7","853","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XP22DH79W4S4GY2TFSTT","1 468","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XX96E6MN2QBCA47XM6B2","8 739","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XRADE3Q95XGFFE9K8YST","3 146","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XV9EBG1ECPY8JEZ9W5JY","6 126","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7Y068WFADN0W1F6S2PXHN","12 175","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XW5QXBHFBZDRA7PEZGKC","7 543","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XYVKDT2H5THFRM75EAXG","10 657","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XQTZ5ZH6B2DM18KT2KE3","2 690","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XVW2NAECDCDKA2X6E4A0","7 056","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XMFSQ5J4XQE18M7YTBQY","237","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XX0VWYMK5BNAGVDTHF1N","8 393","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XXHC4FKJMW3MB8JAGFV0","9 208","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XSHQ8GMA8SASP2E4KSYD","4 367","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XY5DC9XWKTNPYHQZNBKN","9 788","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XXTX3KZAJ50HSDV1H1B6","9 711","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XMFV8C99E2QW24R1ZQ9T","257","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XQ1JF6FQWFQYMMD9B3Q4","2 234","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZX10CKNGKHK2G15RMT4","11 987","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XW5NHVMFWDV2ZC3WZ1KK","7 448","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XMFVZWZMAGV5WDZ5EEHM","103","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7Y067RJGJ5JN2EYQKJ5E1","12 044","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XQV0QWHGWN1AGDTBAHF5","2 806","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZ6GVK3Z7ZJD6VWSRVWK","10 893","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XV9GWJ4JQPFN9HN8NNPK","6 454","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XMFWJK2GM210J0N64YGD","277","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZH0GQHGHMBPPPEPYKQR","11 483","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XTNEEXDZZSNC4M7SWCTV","5 409","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XPK6QAGRKECSMRBHDSKY","1 740","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XS6DWVFPFF3K7FRHVFZJ","3 953","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XXTXQ5YNY9W8VGPYZEEZ","9 653","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XXHF03B1WXDH8MKS6QSP","9 109","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XVJTPYY1S3W8EK2MXE0Y","6 656","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XXTVV8H3W2ENPDJZSME9","9 526","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XSX08SPXMX1RK5C9Q9B6","4 779","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XMFT30RVMJD8Q4ZTSSZJ","201","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XV9EZ4AJDNF1NAF934KT","6 206","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XTNF0BXVEV8RG87NKWE2","5 670","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XNGE8X2D4A27D245Z5RE","1 069","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XTZQ90JGGZ6YN9PDHGZB","5 820","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZ6HKXSS04RBVE34AADX","11 047","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XN0KAVJJ3W1D2T1PHC90","603","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XWRQDH1PAVS3CN78HZ49","8 303","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XV9G68YY5R7DDJ0PDJ99","6 362","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XYVHWSSVFEHH0G2BPCX5","10 531","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XQDTNPWMHKSQ94RXG5VD","2 540","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZWZGC6BKYWR1MDBJFR8","11 715","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XPK8MZRS443ESZVB1BBF","1 814","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XXTWHR78VX125D6JZBN4","9 598","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XS6C4K2RJYRGEEQT0TTY","3 816","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XRAF21ZC4KV9TQF8SKFF","3 280","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XNGBGMPSXV6FJ17619RC","739","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XS6CMA2P4AM23BXCGB3K","3 855","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XYVJTM8CEXW305ZXTFBY","10 821","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XQV0BA59REHCV2BPDCZA","2 902","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XSWYE92Z4WH9WZW1460X","4 701","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XTND6486TNK703XPT4NN","5 389","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XV9FNZ5SMZWACG70XD3N","6 268","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XWRNWXK63E2JEGDWEBYC","8 002","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XXHDT0RYF0MC8HZ5Z5CQ","9 245","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XY5ECP71WPXGFSJQQJF6","9 961","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XQ1EREYXHYH09SMEC25T","2 141","Товар завантажено через кілька фідів",Попередження,,
