Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Product Sales Channel 1,Variant Id
prod_01KKJ7XWMHGQGM2496P2TWBN3R,127619-shpulka-fasteasy,Шпулька Fast&Easy,published,/products/127619.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XWRS7EXDP8H4XKE3D3HA
prod_01KKJ7XWMHH65XB188Y793S3FS,112973-kotushka,Котушка,published,/products/112973-replacement-thread-spool-al-ko-for-bc-1000-e-webshop.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XWRRKJ19K26BQZ6DM6Q8
prod_01KKJ7XWMHMK994E4YGPJEZZ3Q,112987-kotushka,Котушка,published,/products/112987-1200.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XWRR8PZZNQNMDR3KZSPC
prod_01KKJ7XWMHS1WMV6Y4XVP920VX,112966-kotushka,Котушка,published,/products/112966-replacement-thread-spool-gte-350-450-550-webshop.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XWRQDH1PAVS3CN78HZ49
prod_01KKJ7XWXF6SPM4XF5P7XJ0R88,112405-nizh,Ніж,published,/products/112405-replacement-blade-al-k-for-bc-260-b-4125-4535-webshop.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX0VP905RWEJ3QTD2KTS
prod_01KKJ7XWXF8HK35R9QZ71D2MQQ,112974-nizh,Ніж,published,/products/112974-blade-disc-for-bc-1200-e-webshop.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX0VQS0BNY4MXD3NNR6M
prod_01KKJ7XWXFJXE5Y50ANC6QX0WM,127620-shpulka-fasteasy,Шпулька Fast&Easy,published,/products/127620-thread-head-fast-and-easy-profi-webshop.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX0TCGQEJNZK16AZXCBA
prod_01KKJ7XWXFKMAAF8EBMGMYJY26,127251-remin,Ремінь,published,/products/127251-double-shoulderstrap-for-brushcutters-sba-semi-professional-webshop.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX0VK9YMSVE13S031VK0
prod_01KKJ7XWXFPNJ7JTPQ7V5Q9QGC,112906-nizh,Ніж,published,/products/112906.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX0VWYMK5BNAGVDTHF1N
prod_01KKJ7XWXFQPFVVMYRRH4AJ45Q,kosylna-struna-dlya-motokis-1615-m,"Косильна струна для мотокіс 1,6×15 м",published,/products/113481-113483-113485-113486-113487-113488-113489-113490-113492-113494-sba-spare-thread-round-webshop.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX0W6XXEWX9XDDJFWTHJ
prod_01KKJ7XWXFSHPY62BV370D2NT2,kosylna-struna-dlya-motokis-2015-m,"Косильна струна для мотокіс 2,0×15 м",published,/products/113481-113483-113485-113486-113487-113488-113489-113490-113492-113494-sba-spare-thread-round-webshop.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX0WK9SNNEYVT4NA054K
prod_01KKJ7XWXFSMKT92320XYVKMHT,127252-remin,Ремінь,published,/products/127252-sba-gurt-01-1.png,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX0VSSX3ECAV18XH8X3S
prod_01KKJ7XWXFYJX7MSF3VN2JAQ69,kosylna-struna-dlya-motokis-1315-m,"Косильна струна для мотокіс 1,3×15 м",published,/products/113481-113483-113485-113486-113487-113488-113489-113490-113492-113494-sba-spare-thread-round-webshop.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX0W9381M1A4YAECKF4G
prod_01KKJ7XWXG1VP7Z0PJYTJEJKZT,shpulka-zminna-dlya-elektrychnoho-trymera-bc-1200-e-plastyk,"Шпулька змінна для електричного тримера BC 1200 Е, пластик",published,/products/114012-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX0YWJ23GV5103B5J4DE
